GUID,UN LOCODE,Latitude,Longitude,Mile,Facility Type,Official Name,Port Name,Waterway Name
0VF7,LGB,33.768889,-118.23277,3,Dock,SSA TERMINALS (ZIM CONTAINER LINE) BERTHS A - 88 90 92 7& 94,Long Beach CA,Long Beach CA
0VCQ,LGB,33.769167,-118.21472,3,Dock,L. G. EVERIST BERTH D-44,Long Beach CA,Long Beach CA
0VCR,LGB,33.769722,-118.21277,3,Dock,GP GYPSUM BERTH D - 46,Long Beach CA,Long Beach CA
0QP0,AEK,33.769988,-88.498748,353,Mile point,MILE 353  TTWTY,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0V14,LGB,33.77,-118.21666,3,Dock,MATSON TERMINAL BERTH C-60 - C-62,Long Beach CA,Long Beach CA
0V0W,LGB,33.770556,-118.21222,3,Dock,CROWLEY PETROLEUM SERVICES BERTHS D-48 & 49,Long Beach CA,Long Beach CA
0V0X,LGB,33.770556,-118.21027,3,Dock,FOREST TERMINALS BERTHS D-50,Long Beach CA,Long Beach CA
0D4H,,33.77076,-91.11105,580,Mile point,MILE 580  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0J8L,,33.770933,-80.740167,14,,JUNCTION BROAD & SALUDA RIVERS,Congaree River SC,Congaree River SC
0JCG,,33.770933,-80.740167,14,,MOUTH MILL CREEK,Congaree River SC,Congaree River SC
0V12,LGB,33.771111,-118.21333,3,Dock,L. G. EVERIST BERTH C-59,Long Beach CA,Long Beach CA
0V69,WTN,33.771389,-118.25,3,Dock,AUTO WAREHOUSING CO BERTH 200A,Los Angeles CA,Los Angeles CA
0V13,LGB,33.771389,-118.21361,3,Dock,CLEAN COASTAL WATERS BERTH C-59 SLIP,Long Beach CA,Long Beach CA
0V11,LGB,33.771389,-118.2125,3,Dock,PACIFIC TUG SERVICES BERTH C-58,Long Beach CA,Long Beach CA
0V0Y,LGB,33.771667,-118.20944,3,Dock,FOREST TERMINALS BERTHS D-51 52 53 & 54,Long Beach CA,Long Beach CA
0V10,LGB,33.772222,-118.21194,3,Dock,CLEAN COASTAL WATERS BERTH C-57,Long Beach CA,Long Beach CA
0VER,LGB,33.772222,-118.20555,3,Dock,TESORO REFINING & MARKETING BERTHS B 84 84A85 85A 86 & 87,Long Beach CA,Long Beach CA
0V0Z,LGB,33.7725,-118.20833,3,Dock,LONG BEACH SPORTFISHING BERTH C-55,Long Beach CA,Long Beach CA
0D4J,,33.77296,-91.09388,581,Mile point,MILE 581  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0VEQ,LGB,33.773889,-118.21888,3,Dock,TOYOTA LOGISTICS SERVICES INC. BERTHS B - 82 & 83,Long Beach CA,Long Beach CA
0VE5,LGB,33.774722,-118.21194,3,Dock,PACIFIC BAY MARINE BERTH C-72,Long Beach CA,Long Beach CA
0VEP,LGB,33.775,-118.21527,3,Dock,BP TERMINAL SERVICES CORP. BERTHS B 79 & 80,Long Beach CA,Long Beach CA
0D4K,,33.77515,-91.0768,582,Mile point,MILE 582  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0VE6,LGB,33.775278,-118.21138,3,Dock,WORLD OIL CO BERTH C-73,Long Beach CA,Long Beach CA
10G6,BHM,33.775794,-87.136391,419,Mile point,MILE 419  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
0VE8,LGB,33.775833,-118.21305,3,Dock,BP TERMINAL SERVICES CORP. BERTH B - 77,Long Beach CA,Long Beach CA
0YDY,WTN,33.776111,-118.24444,3,Dock,MANSON CONSTRUCTION & ENGINEERING CO. BERTH 200 G & H,Los Angeles CA,Los Angeles CA
0VE7,LGB,33.776667,-118.21083,3,Dock,BP TERMINAL SERVICES CORP. BERTH B - 76 & 78,Long Beach CA,Long Beach CA
0D4L,,33.77784,-91.071319,582,,JCT ARKANSAS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0EF7,,33.77784,-91.071319,0,,JCT MISSISSIPPI RIVER,Arkansas River Mouth to Dam No 2 AR,Arkansas River Mouth to Dam No 2 AR
0D4M,,33.77791,-91.0598,583,Mile point,MILE 583  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0FG1,AEK,33.784029,-88.496401,354,Mile point,MILE 354  TTWTY,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
10G7,BHM,33.784348,-87.150407,420,Mile point,MILE 420  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
0D4N,,33.78514,-91.04507,584,Mile point,MILE 584  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0EFD,,33.789094,-91.112589,6,,RIVER MILE,Arkansas River Mouth to Dam No 2 AR,Arkansas River Mouth to Dam No 2 AR
0EF8,,33.790626,-91.062969,1,,RIVER MILE,Arkansas River Mouth to Dam No 2 AR,Arkansas River Mouth to Dam No 2 AR
0EFC,,33.791651,-91.097345,5,,RIVER MILE,Arkansas River Mouth to Dam No 2 AR,Arkansas River Mouth to Dam No 2 AR
0JEM,JNG,33.793611,-78.769466,355,,BRIAR CLIFF MARINA,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0HXS,BHM,33.794484,-87.143421,421,Mile point,MILE 421  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
0NDD,AEK,33.796822,-88.504376,355,Mile point,MILE 355  TTWTY,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0HXP,JSP,33.797056,-87.090172,427,,HEAD OF NAV MULBERRY FORK,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
10GB,BHM,33.797241,-87.091364,426,Mile point,MILE 426  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
0JEN,JNG,33.799067,-78.753381,354,,TURN AROUND POINT,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0D4P,RAE,33.79917,-91.04385,585,Mile point,MILE 585  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0EFE,,33.801107,-91.115647,7,Dock,RIVER MILE,Arkansas River Mouth to Dam No 2 AR,Arkansas River Mouth to Dam No 2 AR
0HXQ,JSP,33.802281,-87.077292,427,Mile point,MILE 427  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
0EF9,,33.804899,-91.062817,2,,RIVER MILE,Arkansas River Mouth to Dam No 2 AR,Arkansas River Mouth to Dam No 2 AR
0EFB,,33.805051,-91.090295,4,,RIVER MILE,Arkansas River Mouth to Dam No 2 AR,Arkansas River Mouth to Dam No 2 AR
10GA,JSP,33.805436,-87.101187,425,Mile point,MILE 425  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
0JCF,SS5,33.806589,-80.866269,29,,MOUTH BEAVER CREEK,Congaree River SC,Congaree River SC
0HXR,JSP,33.807907,-87.140365,422,Mile point,MILE 422  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
0HXN,JSP,33.808765,-87.056831,429,Mile point,MILE 429  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
0Q4X,AEK,33.809255,-88.513262,356,Mile point,MILE 356  TTWTY,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0Y9S,AEK,33.809722,-88.514444,355.7,Dock,TEPPCO PARTNERS L.P. PORT ABERDEEN,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0EFF,,33.809949,-91.101813,8,,RIVER MILE,Arkansas River Mouth to Dam No 2 AR,Arkansas River Mouth to Dam No 2 AR
0XCN,AEK,33.811111,-88.515,355.8,Dock,TAYLOR PROPANE GAS ABERDEEN MS,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0X6C,RAE,33.811389,-91.020278,1.8,Dock,JAN TRAN INC. ROSEDALE DOCK AND FLEETING AREA,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0EFA,,33.81176,-91.076631,3,,RIVER MILE,Arkansas River Mouth to Dam No 2 AR,Arkansas River Mouth to Dam No 2 AR
